DEPARTAMENTO,SUBGRUPO DE CULTIVO,Área Sembrada(ha)
amazonas,AGUACATE,35
amazonas,ARROZ,130
amazonas,CACAO,337
amazonas,FRIJOL,10
amazonas,MAIZ FORRAJERO,299
amazonas,PIÑA,35
amazonas,TOMATE,14
amazonas,YUCA,5637
antioquia,AGUACATE,44995
antioquia,ARROZ,76603
antioquia,ARVEJA,2249
antioquia,CACAO,85114
antioquia,CAFE,491476
antioquia,CAUCHO,27646
antioquia,FRIJOL,31729
antioquia,MAIZ FORRAJERO,106019
antioquia,MALANGA,4422
antioquia,MANGO,10799
antioquia,PALMA DE ACEITE,17662
antioquia,PAPAYA,1160
antioquia,PIÑA,3753
antioquia,PLATANO,224583
antioquia,TOMATE,7405
antioquia,TOMATE DE ARBOL,13693
antioquia,YUCA,37970
antioquia,ZANAHORIA,6533
arauca,AGUACATE,948
arauca,ARROZ,40328
arauca,CACAO,54479
arauca,MAIZ FORRAJERO,52293
arauca,PALMA DE ACEITE,200
arauca,PAPAYA,1218
arauca,PIÑA,1011
arauca,YUCA,30593
atlantico,AGUACATE,75
atlantico,ARROZ,1668
atlantico,FRIJOL,1961
atlantico,MAIZ FORRAJERO,36408
atlantico,MANGO,11466
atlantico,PALMA DE ACEITE,1156
atlantico,PAPAYA,255
atlantico,PIÑA,20
atlantico,PLATANO,265
atlantico,TOMATE,143
atlantico,YUCA,22207
bolivar,AGUACATE,10835
bolivar,ARROZ,91952
bolivar,CACAO,27174
bolivar,CAFE,4203
bolivar,CAUCHO,1832
bolivar,FRIJOL,9043
bolivar,MAIZ FORRAJERO,306339
bolivar,MANGO,8128
bolivar,PALMA DE ACEITE,176917
bolivar,PAPAYA,30
bolivar,PIÑA,1439
bolivar,PLATANO,7774
bolivar,TOMATE,5
bolivar,YUCA,167250
boyaca,AGUACATE,3255
boyaca,ARVEJA,14380
boyaca,CACAO,21526
boyaca,CAFE,36714
boyaca,FRIJOL,11917
boyaca,MAIZ FORRAJERO,45151
boyaca,MALANGA,13294
